date,comment,surge_level
2025年03月30日 00:57,"駐車場ほぼ満車、
海500m以上前から路駐多数。
今のところ気配なし。
地元民の会話によると
2時過ぎからいつも上がるそうなので
ちょっと仮眠して待機、、",不明
2025年03月30日 00:45,岩瀬にいますが、気配なし,不明
2025年03月30日 00:45,"イカの姿は見当たりません。
直火で焚き火をしている人や釣り人にライトを当てたり、前を横切ろうとする人などマナーの悪い人が目立ちます。
マナーを守ってホタルイカ掬いを楽しみましょう。",不明
2025年03月30日 00:14,波少し高い気配なし満潮の3時頃でしょ,不明
2025年03月29日 23:46,全く気配無し,不明
2025年03月29日 23:41,"現在待機中、イカ気配なし、波有り入るのに躊躇、
他の場所情報求む",不明
2025年03月29日 23:23,"ｱｧｯｰ⁉
国分浜だめです…",不明
2025年03月29日 23:18,海老江居ない,不明
2025年03月29日 23:18,"濁りはほんの少しマシになった程度、まだまだ濁ってます
波も高くはないですが白波多く、しぶきが上がってます。
風は冷たいそよ風。

駐車場満車で人多し。
焚き火あり。
イカは無し。",不明
2025年03月29日 23:18,"朝方６時位に海岸線も雪混じりの雨予報です。
防寒対策をして体を労って下さいね！

ホタルイカは今日しか捕れないわけではないので〜。",不明
2025年03月29日 23:09,"海老江人かなり多い
駐車場満車
波少し粗めで多少濁りあり
難しそうだな…",不明
2025年03月29日 22:34,新湊来ましたが、ものすごい濁りで萎えました。東方面に向かいます。,不明
2025年03月29日 22:13,腹ごしらえが終わりもう一度岩瀬を偵察。再度訪れたがやはり波が高い。地元住民の女性は1時間粘ったがまだまだこれからの様子。車に移動し、その時を待つ。,不明
2025年03月29日 21:47,"入善はまだまだ波高めです
この後は南風予報だけどどうなるかな
情報次第で移動します",不明
2025年03月29日 21:39,岩瀬の駐車場はほぼ満車。近くの中華料理店を訪れ0時を待つ。,不明
2025年03月29日 21:26,四方、岩瀬は濁りあるので入善に期待して移動します！50キロ遠いな😅,不明
2025年03月29日 20:49,木屑やゴミは風向きが南寄りになると沖に流れていきますよ。,不明
2025年03月29日 20:18,"砂の濁りは昨日よりまし
むしろ木屑、落ち葉などの堆積物がえぐい
日曜仕事なのに泣きの延長戦0時過ぎくらいまで様子見る",不明
2025年03月29日 20:08,"準備は整えてきて今日しか挑めないけど、コンディション悪いみたいだし、どうだろう。
一応、待機。ビギナーズラックに期待。",不明
2025年03月29日 20:06,今年も救いたいなぁー。とやって来ました。駐車場は一杯です。今は白波ですね。期待しながら、休憩しつつ見守ります。,不明
2025年03月29日 19:39,"取れる取れないは分からないけど濁りはマシかな

波も無いから後はホタルイカの気分次第かな(笑)",不明
2025年03月29日 19:31,"昨夜よりは濁り少ないよーな
岩瀬浜駐車場もう直ぐ満車
最終日なんとかー",不明
2025年03月29日 18:08,"波高く粗め　波内に細かい木くずあり
怪我注意されたし
駐車場車多し",不明
2025年03月29日 17:56,北風、波少し、濁りあります。昨日と変わらないですね,不明
2025年03月29日 17:45,皆さん条件悪そうとの事なので、私も今夜は見送ろうと思います。,不明
2025年03月29日 17:35,岩瀬浜は少し白波がたってる。残念,不明
2025年03月29日 17:30,雨は降ってないけど、それ以外の条件が悪いから、4月の新月かその周辺日に期待,不明
2025年03月29日 16:20,今晩を楽しみに今働いてますが、こちらを見てると今日は無理そうですかね？,不明
2025年03月29日 15:50,"見通せる範囲はまだまだ濁りがありました。
ホタルイカが捕れても洗うの大変そうです。
浜のところに木材等のゴミがかなり堆積していたので、
海に入る前後に怪我をしないようお気を付けください。",不明
2025年03月29日 14:42,"まだまだ濁りありますね。
波もあり　期待できない状況です。",不明
2025年03月29日 14:20,海はまだ濁りがありますね…せっかく関東から来ましたが、諦めて居酒屋で地酒を堪能することにします。,不明
2025年03月29日 13:43,"風車近くの場所
もう県外の方々で場所取り（タモ伸ばしたりロープ張っておられましたので）でほとんど埋まってましたので
地元の方々トラブラ無いよう気をつけてください",不明
2025年03月29日 12:04,本日長野から出漁！と思っていましたがコンディション悪そうですし来月の新月まで我慢します。現地にいっちゃうと無理してでもなんとか！とか考えて海入っちゃうかもですし、事故でも起こしたらいろんな方に迷惑かけちゃうし。遠征考えててもうお休みとってあるしとりあえず行こう！てかたもいるとは思いますが、くれぐれも安全に気をつけて。夜かなり寒いかもですので寒さ対策、あと雪のない地域から来られる方は万一に備えてタイヤチェーンなども準備しておいたほうが良いかと。,不明
2025年03月29日 10:02,"0時〜4時くらいまで岩瀬浜〜四方でねばってみましたが、うねり濁りがひどい…
いかの気配、ありません。",不明
2025年03月29日 08:35,"本日富山入りします
皆様情報交換宜しくお願いします🙇",不明
